timestamp,symbol,side,price,quantity,strategy,reason,balance_after_trade
2025-10-13 22:45:37,BTC/USDT,sell,122201.14,0.00020508807992579824,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.11
2025-10-13 22:45:37,BTC/USDT,buy,121937.0,0.00020525694452985238,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.09
2025-10-13 22:45:37,BTC/USDT,sell,122091.23,0.00020525694452985238,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.15
2025-10-13 22:45:37,BTC/USDT,buy,121867.8,0.00020543843607396964,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.11
2025-10-13 22:45:37,BTC/USDT,sell,121605.7,0.00020543843607396964,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.09
2025-10-13 22:45:37,BTC/USDT,buy,121715.45,0.00020558498437340183,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.07
2025-10-13 22:45:37,BTC/USDT,sell,122260.07,0.00020558498437340183,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.20
2025-10-13 22:45:37,BTC/USDT,buy,123177.32,0.0002033723441117158,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.15
2025-10-13 22:45:37,BTC/USDT,sell,121307.55,0.0002033723441117158,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.82
2025-10-13 22:45:37,BTC/USDT,buy,120721.94,0.0002067212921929228,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.87
2025-10-13 22:45:37,BTC/USDT,sell,120674.45,0.0002067212921929228,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.81
2025-10-13 22:45:37,BTC/USDT,buy,120523.58,0.0002070411543889995,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.86
2025-10-13 22:45:37,BTC/USDT,sell,120799.87,0.0002070411543889995,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.87
2025-10-13 22:45:37,BTC/USDT,buy,121443.54,0.0002055905319001033,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.90
2025-10-13 22:45:37,BTC/USDT,sell,121627.14,0.0002055905319001033,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.91
2025-10-13 22:45:37,BTC/USDT,buy,121569.68,0.00020545483536557542,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.93
2025-10-13 22:45:37,BTC/USDT,sell,121395.54,0.00020545483536557542,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.87
2025-10-13 22:45:37,BTC/USDT,buy,121077.41,0.00020621628851813102,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.90
2025-10-13 22:45:37,BTC/USDT,sell,121388.84,0.00020621628851813102,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.94
2025-10-13 22:45:37,BTC/USDT,buy,121624.71,0.00020542034261188656,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.95
2025-10-13 22:45:37,BTC/USDT,sell,121523.19,0.00020542034261188656,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.92
2025-10-13 22:45:37,BTC/USDT,buy,121416.92,0.00020572895466279212,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.94
2025-10-13 22:45:37,BTC/USDT,sell,121599.17,0.00020572895466279212,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.95
2025-10-13 22:45:37,BTC/USDT,buy,121630.32,0.00020544506958028786,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.97
2025-10-13 22:45:37,BTC/USDT,sell,117736.5,0.00020544506958028786,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.15
2025-10-13 22:45:37,BTC/USDT,buy,117501.04,0.00021096288190525293,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.37
2025-10-13 22:45:37,BTC/USDT,sell,117025.86,0.00021096288190525293,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.05
2025-10-13 22:45:37,BTC/USDT,buy,114724.14,0.00021585079382341386,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.29
2025-10-13 22:45:37,BTC/USDT,sell,113550.55,0.00021585079382341386,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:98.80
2025-10-13 22:45:37,BTC/USDT,buy,112669.63,0.00021922470683916921,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.10
2025-10-13 22:45:37,BTC/USDT,sell,112938.75,0.00021922470683916921,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:98.86
2025-10-13 22:45:37,BTC/USDT,buy,111857.07,0.00022094907407018444,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.14
2025-10-13 22:45:37,BTC/USDT,sell,112871.01,0.00022094907407018444,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:99.08
2025-10-13 22:45:37,BTC/USDT,buy,112028.84,0.00022111023662071738,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.31
2025-10-13 22:45:37,BTC/USDT,sell,110555.82,0.00022111023662071738,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:98.76
2025-10-13 22:45:37,BTC/USDT,buy,111964.53,0.00022050999875190588,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.07
2025-10-13 22:45:37,BTC/USDT,sell,112329.58,0.00022050999875190588,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:98.84
2025-10-13 22:45:37,BTC/USDT,buy,112115.78,0.0002203920149716554,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:74.13
2025-10-13 22:45:37,BTC/USDT,sell,112466.29,0.0002203920149716554,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:98.91
